t,U
19.65547727,-1.78552163
19.69697727,-1.704972824
19.73847727,-1.658944935
19.77997727,-1.57839613
19.82147727,-1.647437963
19.86297727,-1.704972824
19.90447727,-1.658944935
19.94597727,-1.57839613
19.98747727,-1.509354296
20.01811364,-1.57839613
20.05961364,-1.57839613
20.10111364,-1.486340352
20.14261364,-1.37127063
20.18411364,-1.161268387
20.22561364,-0.9138684839
20.26711364,-0.7240034422
20.30861364,-0.3126291851
20.3522096,0.1233572069
20.38972727,0.5829009282
20.42179545,1.319306054
20.44631818,2.113424126
20.47272727,2.899254437
20.49913636,3.749691603
20.52743182,4.535961417
20.54818182,5.327944762
20.57836364,6.150693276
20.60854545,7.139573702
20.63495455,7.988692361
20.66136364,8.737604469
20.68777273,9.444324347
20.71229545,10.19775705
20.73870455,10.86680529
20.77265909,11.4590034
20.81415909,11.67188239
20.84811364,11.19228822
20.87075,10.45271868
20.87640909,9.766040112
20.89527273,9.054046206
20.90281818,8.373696473
20.91413636,7.424371264
20.92922727,6.395935622
20.93677273,5.378048037
20.94431818,4.550025494
20.95563636,3.500493736
20.9694697,2.503702267
20.97701515,1.586021232
20.98581818,0.8265610651
20.98959091,-0.1508922978
21.00656818,-1.019349063
21.01788636,-1.546751956
21.02228788,-2.42224076
21.03109091,-3.11313855
21.04240909,-3.888420804
21.07447727,-4.834869269
21.11597727,-4.869390186
21.15747727,-4.268150887
21.19897727,-3.825132457
21.24047727,-3.523074436
21.28197727,-3.44252563
21.32347727,-3.23540013
21.36497727,-2.982246741
21.40647727,-2.683065463
21.44797727,-2.435665561
21.48947727,-2.314842352
21.53097727,-2.061688963
21.57247727,-1.831549519
21.61397727,-1.831549519
21.65547727,-1.78552163
21.69697727,-1.704972824
21.73847727,-1.658944935
21.77997727,-1.57839613
21.82147727,-1.647437963
21.86297727,-1.704972824
21.90447727,-1.658944935
21.94597727,-1.57839613
21.98747727,-1.509354296
22.01811364,-1.57839613
22.05961364,-1.57839613
22.10111364,-1.486340352
22.14261364,-1.37127063
22.18411364,-1.161268387
22.22561364,-0.9138684839
22.26711364,-0.7240034422
22.30861364,-0.3126291851
22.3522096,0.1233572069
22.38972727,0.5829009282
22.42179545,1.319306054
